Quote Text,Response Text,Label
boys can urinate standing up. can girls do that? i think not.,"wow you can piss standing up, that's loads better than multitasking, manipulating, linguistics and arts. well done you!",sarc
meh.... i guess it depends on relativity... some guys have a different girl everyday.. so compared to them i'm mediocre... some guys have a different girl yearly... so compared to them i'm a playa. i'm in the middle... different girl every month. you make your choice. p.s. no i am not single for any dates before you ask.,"wow, your sex life is based on relativity? i assumed you were quick, but not that bad.",sarc
"umm... i think the infringement of gay rights is kinda what we're discussing here, bucko. what rights of yours are being infringed by not infringing the rights of gays? if you can't answer, maybe you should deal with that.","wait so being bullied is infringing on your rights? well no duh but if i 'bucko' have to deal with it on a daily basis just for the fact that i'm slightly different i'm not surprised someone has to deal with it for their sexuality. and if they just dealt with the fact they were gay, accepted it and realized that other people aren't the end all and be all, that they'd eventually find people who accepted them for who they were and that high school wasn't the world maybe they'd still be alive.",sarc
let's just cut to the chase on your spurious claim. when was the xivth amendment passed.? here is the enforcement provisions of the act of 1964: https://en.wikipedia.org/wiki/civil_rights_act_of_1964 heller ruled that the 2a was about more than 'discrimination on gun laws' in that as long as the 'discrimination was equal it would be legal according to the plaintiffs and muncipalities'. that was ruled out and dismissed by scotus. you are building a strawman trying to imply i said your words. you are a poor liar. ad absurdum!,"1868 actually, that is a link to the wikipedia article on the act. once again, the 14th amendment and the civil rights act of 1964 are not the same thing. more importantly, a store saying 'no blacks allowed' is not violating the 14th, they violate the civil rights act of 1964. furthermore, a store saying 'no guns allowed' is not violated the 2nd amendment.  time for you to read up on the constitution doc, you might find some good things in there. i'm a little surprised you don't vote democrat given your thoughts. then again, not much difference between a given democrat and your texas 'republicans' (see w bush and rick perry)",sarc
"lets see...rise of christians and the overthrow of pagan rome. rise of protestants against the pope people power 1 & 2 just the first three that came into mind. but overall, christianity is one of the first true pacifist religions making it one of the most important revolutions in history. you can read more here","i love how your sources never support your point. well, i wasn't able to find out about the rebellions of christianity from your source, but it did show some positive points, so i guess that was good.",sarc
"this is grat news..............so much for the gloom and doomers........i think you will continue to see prices fall and the price of gasoline will stabalize at about $1.85 a gallon.................. the reason why gasoline is so expensive in other countries,especially in europe is because they have huge taxes built into the price..........","why? that doesn't make alot of sense. we say gas go over $2 during a period of relatively low demand. why would gas stabalize that a price that is lower then what it was during a period of low demand when high demand is projected with increases consumption in china the us and the industralized world as a whole? oh yes, i'm asking the person who thinks that cds are good investments during periods of low inflation. emoticonxrolleyes",sarc
"you and your penis metaphors. feeling emasculated, are we? :::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::                                        ",i love how you're pretending to not know your way around the 50 character minimum... that's cute.,sarc
"so let me get this straight, you reject global warming, despite there being supported by almost 97% of scientists and is clearly being observed by the melting of glaciers, rise in sea levels, change in weather patterns, etc. but you believe in a magical genie in the sky that grants your wishes? people like you are gonna get us all killed , keep your stupid superstitions to yourself and please, if you ever have any children, dont spread this bull, ok? thank you","oh dear she's attacking everyone now obviously a very unhappy kitten .... and i can't even pray for her...and if you can't take tantrum throwing stop doing it, try work on that new word you have invented or your punctuation and spelling , or print up your global warming theory prove all them science folk wrong .... may even get a noble prize ( beats beauty school) ... go get them tiger ....,.",sarc
"do you think your evading the questions that get to the root of your denials is actually helpful to your side of the debate?  why are you trying so hard to deny the fact that conception originates a new organism? that conception is the beginning of that new organism's life and physical existence? that conception is in that respect, the birth of a new organism?  why does that fact bother you so much?","do you actually think that asking worthless questions will help your side? oh wait, obviously you do, that's all you ever ask. why are you trying so hard to deny the fact that conception originates a new organism?  irrelevant  that conception is the beginning of that new organism's life and physical existence? irrelevant that conception is in that respect, the birth of a new organism?  my definition does not allow for this conclusion. why does that fact bother you so much? if you are right, then all words are worthless and meaningless. if you are right every word means every other word.",sarc
"at the risk of sounding like a hippie, 'make love, not war' also, i think that little feud that's going on between the two countries, is far past solving anything and is little more than a pointless grudge now.","oh, usa is a fiiiiiiiiine one to tell 'make love, not war.' to our fantastic nation!",sarc
"superior? intellectual superiority over others? true freedom? people like you? how does today's technology make you better then us?  beside. . . . i read once, 'stupid people call people stupid.'","wow...just...wow! seriously, my post pretty well just saaaaailed on over yer lil head, didn't it? that 'ol stupid train...just kept runnin over ya, didn't it? runnin over ya! lol i guess my incredibly obvious cynical sarcasm was just not ~quite~ earth shatteringly obvious ~enough~, huh sparkles? tha'fawk...they sure are breeding you kids slow these days! you be sure and have fun trying to 'debate' something which has been made totally irrelevant by modern technology! :d 'gun control'...lol, you trainables might as well be arguing for earthquake control! aha ha ha ha ha ha! you don't ~control~ earthquakes, you prepare for them! herpity derp!",sarc
"single payer would give you a lot less government. though border control certainly takes more. still, 'more government' or 'less government' -- this vague phrase you keep throwing out -- is not the point. the point is cost-effective health care for all americans and the integrity of our national borders, and all that goes with it. i would agree with that. don't know the writer, but i agree, it's revolting c**p. mexico is a very racist society in many ways.","perhaps you should smoke a lot less crack? funny isn't it how the people who say that invariably want a larger government? btw adam smith, aka 'miguel sanchez', is a prominent mexican free market economist and spiritual leader of the latino pride movement, with suspected ties to people smuggling and drug trafficking operations along the californian border. his magnum opus the wealth of mexicans details an insidious plot to bring down racial equality through free market principles, estabilishing a millenium of full spectrum mexican dominance of the american financial, legal and industrial systems. the only barrier to his evil plot? patriotic americans who understand the benefits of government control in all aspects of their lives. i'm surprised someone as educated on such a diverse array of issues as yourself hasn't come across him.",sarc
that just proves you can use the search function in youtube. it does not prove you understand anything any of it means. i'll watch them and let you know what i think.,i am very impressed with your ability to copy and paste links. now what this proves about what you know about it is still unproven. unless you are the one in the videos giving the lectures...and he looks like he has been studying this longer then 'almost a decade'. nice try though. what proof can you give that is pertinent to the debate about how that disproves an eternal being? also you may want to get with some of the other atheists on the site because they were pushing the eternal universe and big bounce theories as explanations in other debates. you all should get your scientific consensus on the same page.,sarc
"say the man who spells 'buffoon' with an 'a'...........open mouth, change feet.","i'm not surprised that you didn't get the point that i wasn't really questioning his spelling when i replied to his 'you are heavy on the inane claims... ' with 'you mean accurate claims. your spelling sucks. emoticonxrolleyes ' but rather his statement. but that's ok, we know some people have difficulty with adult concepts such as sarcasm.",sarc
well... i guess no one can call you a rino.,"dude, check my results. i'm shocked. i answered honestly. wow. you were def right, i aint no liberal. o.o",sarc
"lets back up a moment here, ez. first you would have to prove that iran is aiding and abetting terrorists. then you would also have to prove thy are producing nuclear weapons. i'd really like to see your evidence for this. warmongers like you are what got us into the mess that is iraq, ad we don't need another invasion anytime soon - especially for something that is not even proven and hasn't even happened. i take their words at face value until they prove otherwise - must i remind you again : 'innocent until proven guilty'?","if it were up to the thought pattern of individuals that produces this, then not only would we be speaking with a british accent because the left can't stomach any war that goes beyoned five years, but you would have left adolph hitler alone too until he invaded poland.  and for the record, the u.n. isn't working on sanctions against iran because they are good and innocent, but because they feel, like i and many others do, that iran is engaging in deceptive and non-cooperative behaviors. and when the darling of the liberal left - the u.n. - feels that way, then maybe there's a lot more to it than you think you know. by the way, how did you like that fatwa for nuclear weapons?",sarc
you do realize it was the catholic church which adopted the idea of pagan marriage and then changed its definition to suit its needs?  not to mention that it was the catholic church who again changed the definition of marriage from man and property to man and wife?  either you're lying or you are just flaming ignorant. besides your rational is based upon your own inherent irrational thoughts and tradition. that sort of reasoning as a basis for legislation ends up with governments like iran.,"i love it when 'heathens' try to tell me what my religion does or doesn't do. emoticonxrolleyes  ah yes, here come the personal attacks. duo must be getting desperate again.",sarc
that's one of the grossest thing i've ever seen. looks like something a chicken puked.,"oh yeah, there's a whole section of the country (the grain belt or maybe the midwest) that eats these things 2 or 3 times a day. sometimes even for desert.... ...okay i was kidding about that last part, but still.",sarc
"actually, it will continue till christianity is a dead religion, cause 'jesus' is not returning..","much more is happening in the world today than your little gay crusade matthew. but keep your single issue, and totally limited perspective in life, that's what you're good at. could you post where i said that revelation speaks to the rcc vs the protestant reformation ms ? as christ was a jew trebor, his followers wont ever cease to exist, just as god has preserved the jew according to his promises. i'm surprised you can't appreciate that my friend.",sarc
