Quote Text,Response Text,Label
if the founders and early government leaders believed that the modern liberal interpretation of separation of church and state is correct then why is the image of moses carrying the ten commandments carved into the supreme court building? ten commandments stunner: feds lying at supreme court,"ummmmmmm, because it was built in 1932-1935, and has nothing whatsoever to do with the founders or early government leaders, nor with what they believed was correct? you really are the master of the art of self-pwn, archie.",sarc
"So Stalin didn't actually practice Communism (not that anyone has), but really just used bits and pieces to further his rule and such ideology is not communism but Stalinism. So in essence, Stalin wasn't a commie.",You seem to require a slick answer to a complicated question - so how about this:Question: Was Stalin a communist ?Answer: That's what he said he was.Hope this is glib and vacuous enough to meet with your exacting standards.,sarc
"no, not really. i have no idea what you're talking about. but again, how does that cause bullying? t-shirt's don't reach out and shove people or cause them harm. people should not bully no matter what they see on someone's t-shirt.","are you telling me you cannot figure out how creating a gay-hostile atmosphere causes and condones anti-gay bullying? forsooth! butter wouldn't melt in your mouth, would it.",sarc
pot ... kettle ... black emoticonxrolleyes once again i provide a friendly reminder of the op's original 'subject matter' and thus the essence of debate in this particular thread. i've even taken a moment to highlight the questions the op wishes to address. if you dont want to address the arguments then that is of course your perogative. why would you waste your time discussing consequences of certain actions if you find them irrelevant anyway? even if it does contradict your ability to do so in other threads. :),"i'm not 'claiming victory' after going off track to an unrelated topic. what i am addressing is related because i am saying it is irrelevant. how is that not related? in fact, this is another example of you changing the subject matter. to point out that they are irrelevant. i thought that was clear.",sarc
"If it's a well reasoned one, yes. If it's yet another attempt to denigrate those who disagree with you by making absurd generalisations, then no. The attention seeking makes little sense as I rarely discuss my personal religious experiences because they are just that, personal, and because my telling people something will not be convincing to them, and hence serves no purpose. If you want to trivialise mental illness in order to belittle others then that's entirely your lookout. If you want I could reciprocate by pointing out how obsessive-compulsive your rants are.",Rants? Obsessive-compulsive? How so? I don't insult you with every post as you do me? What's you major problem? Perhaps you need to go pray.,sarc
"this post is inform dane that i have posted a request to prove your accusation of me 'lying'.  this link to this thread is here: http://www.4forums.com/political/liars-corner/10967-dane-accusation-lying.html in accordance with the admin, you have to either respond to it or risk a warning or ban.",are you done spamming and threatening me with admin? that's just lame and pathetic.,sarc
"i see you still think my goal in life is to go back and read every post you ever made. lol as stated in answers in genesis, creationaries have to admit to speciation. otherwise the ark wont hold all the animals. somethings got to give, which do you want to give up, no speciation or the ark. lol","but it makes you look a fool that you make comments without knowing. doesn't it. so you think that just because you enter a debate half-way, you can still give an uninformed opinion? weren't you the one ready to laugh at me? i won't laugh at you. i am only saddened by your personal attacks. yes, repeating yourself. i know what they say, you know what they say. i don't agree with them, on these points. answers in genesis are 'right' by your account on this occasion - see my previous post about us both being 'selective' in the information we use; again a lack of insight into your own thought processes. i disagree with them. do you agree with their claim that speciation in fact disproves evolution? i bet you've been very selective here too!",sarc
It takes a hypocrite to cite the huffington post and then complain about a news source.,"No more hypocritical than somebody actively harping on me for citing the Huffington Post, but then HAVING NO negative comment for the RNC embracing NewsMax...But here's an idea.You probably wouldn't vote for me cause I cited Huffington Post, right?So logically, one should ALSO NOT VOTE for Republicans who embrace NewsMax, right???emoticonXDonnoNah. I don't expect that kind of consistency...",sarc
"ting a few of the groups that liberals will go out of their way to stand up for and squawk about how they need more equality, more protection, more opportunities and funding, etc.","Liberals are squawking about more funding for atheist groups? Homosexuals don't deserve equality? Liberals are pro-terrorism?Goodness, even your backtracking just digs the hole deeper. Just can't help it, can you?",sarc
not until i see verified proof of the validity of his original birth certificate and his health records...each without redaction. obama is a facade...an opaque facade...appearing to many to be an honest man. i say he is a liar...and always will be a liar.,"do you seriously mean to suggest that the entire campaign, election, and inauguration would have taken place under the scrutiny of the world without this vital discovery being made? if so, it looks as though you and phelps both set bells to ringing when you pass by. the bells say, 'bong, bong, bong!!",sarc
